1,2,3,4,5,6,7,8,9,10
0.813863386,1.261729081,1.351516287,2.034979997,1.421368695,4.121541389,1.44099979,,,0.813863386
0.572637307,0.59471585,5.842215782,4.670810314,4.748807127,6.752600966,2.757132145,4.638711588,5.787912336,0.572637307
0.611166577,0.894104435,1.433000803,2.286612427,1.333646902,3.215549956,1.924959078,2.460069317,4.360781376,0.611166577
0.507597424,0.667996763,0.531971852,0.888451617,0.093051643,0.779021372,,,,0.093051643
121.3676613,121.3339825,121.7255557,122.6584629,122.5290281,123.102756,125.7017865,125.6985551,121.1564869,121.1564869
61.73543858,61.75729962,58.27202963,58.14507354,61.56512778,57.36396176,60.72994125,60.69362041,63.86948847,57.36396176
32.20797326,32.98797846,32.44286928,32.35729302,30.26921804,29.29717196,32.12120156,29.4048103,32.54517425,29.29717196
59.431481,59.65099494,61.58433394,61.54770961,60.72059416,61.06302839,61.43172463,61.52406629,59.23499865,59.23499865
102.1669612,102.2389742,101.9513347,,,,,,,101.9513347
74.64386987,74.81237657,73.98449231,74.48188323,,,,,,73.98449231
31.27025273,31.28474436,30.09454276,30.50214426,31.37755489,28.94662249,28.83681464,29.94291136,29.17128943,28.83681464
39.6159933,40.66860587,40.6331965,40.07763419,39.85664199,41.25965529,,,,39.6159933
55.32433518,54.68792853,55.27607415,55.65674219,55.58178858,56.09903376,55.85025003,57.0667327,55.90097105,54.68792853
0.892261523,0.857726984,3.87326683,1.201285652,0.341748902,0.789101738,0.899069502,2.172130593,2.781681859,0.341748902
44.08856756,,,,,,,,,44.08856756
40.84498894,40.20967197,41.48925575,44.2900287,41.04924646,44.59352089,44.62783229,44.96228608,44.1092969,40.20967197
66.42511382,66.56745892,63.80417381,63.44033659,66.04768107,63.53967463,67.65069339,70.39207915,62.61443961,62.61443961
129.4868632,129.3529512,128.665634,128.6685637,118.2005064,120.2346361,120.600314,120.1070576,131.6850936,118.2005064
143.9567704,143.6792478,143.6451485,143.3572654,143.3478964,143.9658292,145.2689202,144.3805445,145.0615876,143.3478964
75.22708263,75.01693717,74.3998735,74.88507203,74.6444077,75.87038966,75.27111667,75.03961744,74.68420484,74.3998735
91.34487906,91.468882,93.05932428,93.92500352,91.15950544,91.4229459,94.15062975,88.65484113,87.11510464,87.11510464
30.8096538,29.42679902,30.44357407,28.79550738,30.09052042,30.7731827,29.38319655,29.69202604,29.61475135,28.79550738
70.01879134,69.92970124,69.60099033,,,,,,,69.60099033
77.25592561,77.19049705,78.86708053,77.36505342,79.59441515,78.76596296,76.74871141,75.73387521,78.01986476,75.73387521
92.77430509,92.60057779,92.67434558,92.78296591,92.84491005,92.8818206,92.64481202,,,92.60057779
90.47008002,90.6280102,90.6824007,90.95642689,91.16696017,90.95484121,91.63976477,91.54623775,91.68724089,90.47008002
32.87754593,,,,,,,,,32.87754593
86.95495632,86.44344025,86.80132264,87.55515549,86.65376967,87.83326945,87.74064336,87.7440323,86.91207443,86.44344025
90.23171066,89.55359851,90.167447,90.4383447,90.13114068,90.76011668,89.34605728,89.33907173,89.96018511,89.33907173
27.72547635,,,,,,,,,27.72547635
