Ligand,Distance1,Distance2,Distance3,Distance4,Distance5,Distance6,Distance7,Distance8,Distance9,Ellipsis
1ad8,1.3812650188323747,7.792585178360259,8.158879434426028,8.452218534325766,4.86797121994882,8.96423612458139,5.958064707877047,8.963706889074965,8.877872861741714,
1add,0.5424145452948035,,,,,,,,,
1adl,3.2348524749978944,2.425394990980384,3.9355534065629305,3.6253105813659112,3.762355588107488,6.311659122823987,4.629054115976217,2.370953793307664,2.8845910115016946,
1ado,2.377957910687235,1.468163028072837,4.162718911360699,2.094047586851837,2.3637258282212,4.463948640609567,2.198322632599683,1.981101997626573,4.917304709492792,
1af2,0.4083200193907882,,,,,,,,,
1af6,0.7406688771996397,4.72031923013135,1.9676821170893024,5.1848049119308826,6.323132180782888,4.77491744472227,4.611962032867214,6.285511920558123,6.7894607637259305,
1afk,1.8606952946889013,0.7075133670229338,8.724229698152671,6.278805249305769,2.0203195558480185,6.533292607150331,7.8219845827992,5.248128770148892,7.292988643254915,
1afl,9.047826160910946,9.209449306572168,10.99590755212314,7.692779075336526,7.9813547446533155,8.67170314035923,8.093235380660456,11.088638390305986,7.610434684715622,
1ag9,0.1928321742328154,,,,,,,,,
1agm,2.076516701769401,0.6696070156849805,2.424393721165618,4.444045984772517,3.680680605107999,,,,,
1agw,0.7966264715661915,2.2848766301050043,9.78948172662884,10.871355111042964,11.55571337366932,3.4261884831398284,9.687584205982418,7.0532512431927445,6.716449742922224,
1aht,1.3802705705766536,9.786796685194464,12.40877900402238,11.895371904120246,8.983606207976841,12.262674061911074,12.485010184110116,11.525388525280468,12.446274928159564,
1ahx,5.048114308423403,5.060233547790241,1.6823402944599632,5.623988194414093,5.649580285054167,5.043897815182223,4.8484066563619175,2.1813910211772507,1.2410340585759332,
1ahy,7.099610680875395,6.999580664582699,1.1889196971410647,0.3907773470916666,1.9034453663029056,1.9007643067987157,5.852579478208732,5.782846593482313,5.802731984052857,
1ai4,1.111540533823815,2.314848049188832,4.588427264234083,1.9632630754265532,3.2236816429356057,2.2558027266732954,4.807219098051042,12.478715010268482,12.32835749626986,
1ai5,0.8061369758584164,4.671376868596831,4.823511786431766,13.24097533567675,13.224656204430593,12.8342303339396,4.767915493491565,13.252740745509673,,
1ai6,0.4423601083444854,0.4527071961594428,4.671463871694338,14.135250124648085,14.127327368485648,,,,,
1ai7,2.143310763415195,2.158830916425435,2.6271486284019567,0.5098892372718938,2.018352985551764,,,,,
1aid,10.253731865436889,10.511533390617611,9.896892534650146,0.5514935682871279,10.2879577806891,6.36831312758995,10.203516011143178,10.278368416644534,10.039364561375727,
1aj6,8.476266607872082,8.351133282144188,0.6962771971185562,8.064456065916094,10.31533862362259,6.988590783539463,7.238851683670679,10.91319457962366,4.9307049829936265,
1aj7,8.218250508167781,1.8947767846107884,8.254371939402779,4.325695915630224,1.374782118373671,4.348758076163814,2.356152940918734,8.13092225734572,8.398409853269843,
1ajn,0.9118253771756636,1.4351598436839983,5.023036860383292,5.119008248900143,5.267618653404241,13.7684653648501,14.234319160692635,13.393744218678531,3.491615646968298,
1ajp,0.909616347240236,2.690887057737652,2.587958648078959,4.119125775675383,4.736438917319635,2.610749521848722,4.713049575646324,3.046389867121411,14.996490877924298,
1ajq,1.4277613576660648,0.2485561863599003,2.022043487278264,4.600199917153359,4.453364388115274,15.18652277013332,14.839764100925294,15.329549778160844,,
1ajv,0.5975801252531421,5.0591023930308765,5.432684924153245,,,,,,,
1ajx,0.7472087153198892,0.6877375816763249,6.022243815161422,5.976624690973158,6.138054737964626,6.043872302857664,5.9550992090392585,,,
1akq,0.5913409899978289,3.4997670492062296,3.911310885071324,2.495253542357001,4.577267858386633,,,,,
1akr,11.638677138276163,11.452024466808789,11.470681271651063,7.499711349864762,11.496347111765266,7.33600038178931,8.963560647331343,11.818247408671924,8.868266979517475,
1akt,0.7573504270513348,,,,,,,,,
1aku,0.7232553490987811,3.3449350162451927,3.471214273690256,4.80940750757003,,,,,,
1akv,8.948125971001037,5.218926257846408,4.8967793128123605,7.715274679282274,8.421063632919383,7.156669477848007,4.957576718876712,8.880771960433721,6.757163915526271,
1akw,0.6880039419898321,,,,,,,,,
1al7,3.0400137418274955,2.6178938021814413,7.806354991928051,2.5642732414857825,8.474791589000876,7.438996731145941,1.9111632274612236,1.3973447700907613,1.5814844011244629,
1al8,9.237906966166932,8.701986487259356,8.939063348273379,8.655444532072156,9.250547408847398,7.784301768195613,7.164473600536035,9.837558838705872,9.438042414140291,
1alw,3.207730037217388,3.184295127261291,2.4040199177627457,2.3147609736212504,5.248611827743916,1.8307332087627264,2.5218384507471265,2.3656362327782623,11.369777719609708,
1amk,3.9005959004860897,1.2828068006437203,3.7412539022513713,3.793586837018497,10.898564407093051,10.607136832288385,10.406562036095837,7.653282940818418,11.312416848951615,
1amn,5.200756750761203,1.3593738859359867,5.417112049954725,5.252289051731747,5.25729072560472,10.803783128771578,5.2755662835711705,5.128203606297926,3.134073967463023,
1amw,1.172982268029279,6.977857665820108,3.6959645786041153,3.6125979102456327,7.218805955511849,7.555303978957064,,,,
1anf,0.4804717758529681,6.490601403702057,,,,,,,,
1ao0,2.6606616147394893,5.531332372175938,1.8902787635886071,10.52785846784088,2.9166471344742813,3.999062497404629,3.5819328855614625,8.00108322675633,10.45586068188023,
1ao8,5.191162968960136,4.911040658772966,5.4688961529284095,6.055773198337017,3.530454544689851,10.058246931882676,3.5140913069577997,10.645064698125262,9.67895352196212,
1apb,0.4057711199902994,2.864404607815161,3.172395806584727,3.599324259433352,3.349974500581377,1.081414742573148,,,,
1apv,1.4678477045017688,8.55490673546474,8.567516584735754,8.068401207953158,3.8987239511081633,9.200579513435857,4.788757194141758,9.099906660327164,10.825322049841189,
1apw,1.4140486866744415,8.470108539732955,4.753438272060101,9.19031954950425,9.562790344335395,4.0032640788665015,9.575222082407729,8.304995874583994,9.021260141275798,
1aq1,0.2578971367480788,,,,,,,,,
1aq7,7.070956796407871,6.997201275653002,9.735553781555293,9.884445532170457,9.931560639899452,7.554533092109517,8.16336864150524,11.84585176326858,8.72422982574648,
1aqc,4.784203290465979,8.3584241655278,11.92654568892435,10.16854478940698,12.1363826707952,7.911687852811792,11.086734464293723,8.426562647692979,3.873740602987088,
1aqi,3.64416483156503,2.6799192378761085,8.48515016350964,1.8409176297747225,0.7789555124553745,7.776963731035792,8.136807040706588,8.807885709845031,8.110249004547839,
1aqj,3.1561418964251864,8.198007657193754,1.849089388000163,0.9280726709652608,5.535528542163892,8.107437521327084,4.148458597590909,8.07959869557155,7.738581348742876,
1at5,1.9067583811153124,0.4190721223380649,7.152954740264968,7.063335940682011,11.243860718735606,8.55220080031083,2.4733803817899207,9.047367379969684,3.5882886238946963,
1at6,0.6590033581450943,3.6582560702582585,6.19672107224533,2.142549019221601,10.109621047886042,3.1698663063657047,9.842315249047244,9.023110812912195,8.315161469351953,
1atl,2.566848103854389,2.480010462460399,1.7750147826696128,7.698785769762376,4.146605884177523,3.819641332638445,4.6073864219174805,5.135643803636122,4.07487984821532,
1atr,7.665256864677237,6.894018876587207,7.722112713739919,9.96804804020586,8.581795240097666,12.851192536852729,8.84128856789217,8.56280133823903,9.075332306149292,
1au0,6.5828908039633145,5.812524293528341,6.006466035865017,5.286697412283743,6.1155430647576,6.384839178196157,6.54323978178278,6.354197728892071,5.6341027437298985,
1au2,11.50007582885755,5.049459769175938,11.392903141279616,4.166560150582379,11.25003657447856,3.6372126251104926,11.01202480267534,11.119258638885103,9.797654172152908,
1auj,1.8091582079105188,8.303883086488062,7.66363184731952,8.340838927661144,7.684578676885936,7.533851654428663,5.505822524723259,8.947279805669291,7.326832435281123,
1avd,0.7218485441039552,1.5364119792555635,2.128984979984594,2.5735496844096484,,,,,,
1avn,14.456223655099212,12.574202673976986,13.445297351211686,11.955726162544458,1.742623441825571,2.7321656003068338,4.228798798861209,10.917692305324875,10.32887371485875,
1avp,10.335888179120197,9.653032174785642,10.831325907357002,8.544966158200232,8.462253598103581,10.391335750339154,15.85905901443057,10.573598119468192,16.8990725260923,
